t_ms,ax,ay,az,L_env,L_raw,R_env,R_raw
1306757,0.3044,-0.0739,0.9214,0.0,0.5085,0.0,0.1748
1306773,0.3067,-0.0733,0.9216,0.0,0.5093,0.0,0.1781
1306790,0.3083,-0.0741,0.9211,0.0,0.5101,0.0,0.1821
1306808,0.3086,-0.0721,0.9237,0.0,0.5133,0.0,0.1837
1306824,0.3039,-0.0703,0.9217,0.0,0.5133,0.0,0.1837
1306840,0.3057,-0.072,0.9163,0.0,0.5198,0.0,0.1845
1306857,0.3052,-0.0737,0.9191,0.0,0.5093,0.0,0.1781
1306873,0.3063,-0.0744,0.92,0.0,0.5101,0.0,0.1789
1306890,0.3104,-0.0731,0.9185,0.0,0.5085,0.0,0.1813
1306906,0.3046,-0.0718,0.9172,0.0,0.5093,0.0,0.1764
1306923,0.3033,-0.0687,0.9218,0.0,0.5101,0.0,0.1845
1306939,0.303,-0.0698,0.9208,0.0,0.5085,0.0,0.1813
1306955,0.3035,-0.0752,0.9193,0.0,0.5053,0.0,0.1789
1306972,0.3033,-0.089,0.949,0.0,0.5085,0.0,0.1845
1306988,0.3027,-0.0718,0.9223,0.0,0.5077,0.0,0.1781
1307004,0.3084,-0.0837,0.9151,0.0,0.5117,0.0,0.1845
1307021,0.2997,-0.0988,0.9135,0.0,0.5085,0.0,0.1861
1307037,0.3161,-0.0487,0.9318,0.0,0.5069,0.0,0.1789
1307054,0.2783,-0.0493,0.9211,0.0,0.5061,0.0,0.1829
1307070,0.3445,-0.0963,0.9617,0.0,0.5053,0.0,0.1829
1307086,0.3357,-0.0883,0.9341,0.0,0.5061,0.0,0.1845
1307103,0.3494,-0.0419,0.8761,0.0,0.5101,0.0,0.1829
1307119,0.2841,-0.0484,0.9078,0.0,0.5101,0.0,0.174
1307135,0.315,-0.0974,0.9213,0.0,0.5053,0.0,0.1781
1307152,0.2583,-0.0773,0.9677,0.0,0.5093,0.0,0.1781
1307168,0.3098,-0.0806,0.9166,0.0,0.5101,0.0,0.1772
1307185,0.3041,-0.0553,0.8823,0.0,0.5125,0.0,0.1829
1307201,0.3079,-0.0693,0.8984,0.0,0.5109,0.0,0.1861
1307217,0.3134,-0.0317,0.8571,0.0,0.5069,0.0,0.1845
1307234,0.3078,-0.056,0.885,0.0,0.5085,0.0,0.1821
