t_ms,ax,ay,az,emg_env,emg_raw
1229884,0.18914,0.30162,0.90523,0.0483,0.4988
1229900,0.18898,0.30184,0.90556,0.3779,0.5214
1229916,0.18894,0.30339,0.90577,0.3763,0.1877
1229932,0.18919,0.3028,0.90647,0.0,0.0
1229948,0.18777,0.30296,0.90653,0.0,0.2176
1229964,0.18903,0.30225,0.9052,0.0379,0.494
1229980,0.18922,0.30336,0.90646,0.3594,0.5246
1229996,0.18936,0.30214,0.90623,0.3779,0.1869
1230012,0.18888,0.30296,0.90599,0.0,0.0
1230029,0.1888,0.30251,0.90812,0.0,0.0475
1230045,0.18882,0.30232,0.90615,0.0,0.4327
1230061,0.18812,0.30252,0.90576,0.3376,0.5351
1230077,0.18907,0.30154,0.9054,0.3989,0.2619
1230093,0.18954,0.30255,0.9053,0.0,0.0137
1230109,0.1894,0.30337,0.90685,0.0,0.0435
1230125,0.18781,0.30194,0.9077,0.0,0.4344
1230141,0.18792,0.30204,0.9066,0.2764,0.5375
1230157,0.18971,0.3012,0.90621,0.3956,0.3014
1230173,0.18875,0.30185,0.90637,0.1329,0.062
1230189,0.1889,0.30257,0.90491,0.0,0.0
1230206,0.18845,0.30208,0.90672,0.0,0.3924
1230222,0.1871,0.30222,0.9069,0.2264,0.5407
1230238,0.18853,0.3027,0.90726,0.4037,0.3586
1230254,0.18999,0.30306,0.90483,0.2345,0.0959
1230270,0.18948,0.30143,0.90699,0.0,0.0
1230286,0.18869,0.30183,0.90803,0.0,0.3545
1230302,0.1886,0.30367,0.90547,0.1877,0.5415
1230318,0.18895,0.30325,0.90698,0.4303,0.4271
1230334,0.18927,0.3026,0.90615,0.2949,0.1321
1230351,0.18978,0.302,0.90693,0.0,0.0
1230367,0.18911,0.30139,0.90793,0.0,0.3183
1230383,0.18756,0.30231,0.90619,0.174,0.5391
1230399,0.1877,0.30359,0.90552,0.4182,0.4746
1230415,0.18847,0.30283,0.9067,0.3545,0.1668
1230431,0.18906,0.30167,0.90641,0.0,0.0
1230447,0.18853,0.30215,0.90577,0.0,0.2651
1230463,0.18906,0.30295,0.90629,0.0894,0.5133
1230479,0.18827,0.3021,0.9071,0.4215,0.5012
1230495,0.18808,0.30308,0.90689,0.3852,0.1966
1230512,0.1886,0.30231,0.9068,0.0,0.0
1230528,0.18878,0.30205,0.90659,0.0,0.1893
1230544,0.18876,0.30274,0.9067,0.0234,0.494
1230560,0.18872,0.30258,0.90577,0.3699,0.5294
1230576,0.18813,0.30326,0.90617,0.3932,0.2353
1230592,0.18864,0.30177,0.90673,0.0,0.0073
1230608,0.18907,0.30173,0.90604,0.0,0.0983
1230624,0.18905,0.30243,0.90601,0.0,0.4553
1230640,0.1883,0.3032,0.90754,0.328,0.5375
1230657,0.18826,0.30235,0.90603,0.3956,0.2732
1230673,0.18902,0.30232,0.90578,0.0201,0.025
1230689,0.19109,0.30189,0.90549,0.0,0.0105
1230705,0.19106,0.29895,0.90697,0.0,0.4199
1230721,0.18724,0.30402,0.91148,0.253,0.5383
1230737,0.17299,0.28254,0.91481,0.3892,0.3247
1230753,0.18374,0.29266,0.89746,0.1764,0.0733
1230769,0.18552,0.30197,0.91862,0.0,0.0
1230785,0.18732,0.30684,0.90472,0.0,0.3747
1230802,0.18769,0.30269,0.89566,0.2038,0.5343
1230818,0.19272,0.29929,0.91738,0.4101,0.386
1230834,0.19043,0.30027,0.90363,0.2828,0.112
1230850,0.18761,0.30133,0.9039,0.0,0.0
1230866,0.18669,0.30452,0.91082,0.0,0.3296
1230882,0.18711,0.30534,0.9027,0.17,0.5359
1230898,0.19003,0.30243,0.90363,0.4223,0.4424
1230914,0.19077,0.30057,0.90943,0.3255,0.1466
1230930,0.19067,0.30153,0.90654,0.0,0.0
1230947,0.18717,0.30249,0.90579,0.0,0.2957
1230963,0.18655,0.30413,0.90892,0.1442,0.5254
1230979,0.18848,0.30214,0.90523,0.4215,0.4827
1230995,0.18932,0.30261,0.90487,0.3755,0.1813
1231011,0.19115,0.30178,0.90818,0.0,0.0
1231027,0.18848,0.30299,0.90487,0.0,0.2256
1231043,0.1874,0.3024,0.90686,0.1458,0.5214
1231059,0.18745,0.30323,0.90862,0.4182,0.4763
1231075,0.18797,0.30265,0.90292,0.3699,0.1772
1231091,0.1905,0.30111,0.90685,0.0,0.0
1231107,0.19009,0.30262,0.90829,0.0,0.2281
1231123,0.18802,0.30248,0.90451,0.0572,0.4972
1231139,0.18699,0.30265,0.90713,0.3892,0.5093
1231155,0.18898,0.30249,0.90713,0.3932,0.2168
1231171,0.18936,0.30321,0.90498,0.0,0.0008
1231188,0.1896,0.30245,0.90726,0.0,0.141
1231204,0.18963,0.30188,0.90774,0.0,0.4682
1231220,0.18775,0.30057,0.90538,0.3328,0.5302
1231236,0.18774,0.3027,0.90737,0.3932,0.2659
1231252,0.18845,0.30301,0.90669,0.0,0.0129
1231268,0.18927,0.30222,0.90483,0.0,0.145
1231284,0.19033,0.30158,0.90715,0.0,0.4666
1231300,0.18836,0.30185,0.90535,0.34,0.5351
1231316,0.18772,0.30291,0.90647,0.3948,0.2635
1231332,0.18755,0.30324,0.90713,0.0,0.0145
1231348,0.18822,0.30285,0.90545,0.0,0.0548
1231364,0.18978,0.3017,0.90516,0.0,0.4319
1231382,0.18796,0.3017,0.90776,0.1861,0.5351
1231398,0.18829,0.30321,0.9051,0.4199,0.4069
1231414,0.18708,0.30273,0.90795,0.2998,0.1345
1231430,0.18819,0.30354,0.90674,0.0,0.0
