t_ms,ax,ay,az,emg_env,emg_raw
1350049,0.14627,-0.18551,0.94431,0.0,0.0
1350065,0.14545,-0.184,0.94681,0.0,0.2046
1350080,0.14652,-0.18761,0.94461,0.3312,0.4037
1350096,0.1477,-0.19058,0.93803,0.4045,0.3231
1350113,0.14713,-0.19072,0.94349,0.0572,0.0894
1350129,0.14399,-0.18213,0.9471,0.0,0.0
1350145,0.1481,-0.18485,0.94447,0.0,0.2022
1350161,0.14806,-0.19662,0.94977,0.2724,0.3876
1350177,0.14859,-0.19734,0.95671,0.3827,0.3022
1350194,0.14376,-0.18327,0.95031,0.3344,0.1934
1350211,0.14492,-0.18002,0.94905,0.0,0.0056
1350227,0.14846,-0.18489,0.94651,0.0,0.0975
1350243,0.15116,-0.18393,0.94143,0.0951,0.3191
1350259,0.14677,-0.19127,0.94668,0.4037,0.4093
1350275,0.14935,-0.17505,0.93052,0.3827,0.2321
1350291,0.14577,-0.17857,0.94641,0.0,0.0338
1350307,0.15086,-0.1897,0.953,0.0,0.0548
1350323,0.14911,-0.17979,0.94365,0.0201,0.2877
1350340,0.15152,-0.18664,0.94394,0.3779,0.4069
1350356,0.15325,-0.19157,0.95525,0.3956,0.2667
1350372,0.15874,-0.19141,0.94505,0.0,0.0556
1350388,0.15561,-0.1996,0.9706,0.0,0.0008
1350404,0.14907,-0.18535,0.95076,0.0,0.2498
1350420,0.14824,-0.18429,0.94409,0.3127,0.4085
1350436,0.14968,-0.18756,0.94792,0.3997,0.3255
1350452,0.15179,-0.17986,0.94471,0.0733,0.0951
1350469,0.14561,-0.17975,0.94211,0.0,0.0
1350485,0.14985,-0.18834,0.94396,0.0,0.2136
1350501,0.1501,-0.19278,0.95102,0.2691,0.3924
1350517,0.14873,-0.19686,0.94474,0.3827,0.3022
1350533,0.15145,-0.19168,0.94094,0.1893,0.1281
1350549,0.15046,-0.18757,0.94202,0.0,0.0
1350565,0.14955,-0.1787,0.94668,0.0,0.174
1350581,0.14563,-0.17574,0.94904,0.2232,0.3787
1350597,0.14953,-0.18135,0.94559,0.4327,0.3425
1350613,0.15145,-0.18465,0.94399,0.2812,0.1716
1350630,0.14923,-0.19003,0.94109,0.0,0.0
1350646,0.15063,-0.189,0.93812,0.0,0.1362
1350662,0.14928,-0.18291,0.94627,0.1942,0.365
1350678,0.14654,-0.17629,0.94518,0.4271,0.357
1350694,0.14791,-0.17643,0.94553,0.3384,0.1958
1350710,0.1517,-0.19794,0.94842,0.0,0.0024
1350726,0.14812,-0.19601,0.94268,0.0,0.1088
1350742,0.14743,-0.18601,0.93937,0.1128,0.3392
1350759,0.1487,-0.18786,0.94221,0.4199,0.4053
1350775,0.14757,-0.18227,0.94582,0.3795,0.2313
1350791,0.14551,-0.17789,0.94539,0.0,0.0314
1350806,0.14656,-0.17454,0.94489,0.0,0.1072
1350822,0.14647,-0.18297,0.94679,0.1104,0.3312
1350839,0.15208,-0.19114,0.93963,0.4118,0.4053
1350855,0.15268,-0.19267,0.93914,0.3795,0.2321
1350871,0.15087,-0.19286,0.93985,0.0,0.0306
1350886,0.14852,-0.18901,0.94252,0.0,0.0991
1350902,0.14978,-0.1875,0.94304,0.0935,0.3191
1350919,0.14684,-0.18723,0.94556,0.3964,0.4037
1350935,0.14811,-0.18704,0.94389,0.3795,0.2313
1350951,0.14988,-0.18762,0.94106,0.0,0.0322
1350966,0.14401,-0.18577,0.94713,0.0,0.1007
1350982,0.14289,-0.17854,0.94811,0.1104,0.3296
1350999,0.14165,-0.17983,0.9503,0.3989,0.4215
1351015,0.14697,-0.18383,0.94572,0.3811,0.2474
1351031,0.15043,-0.18894,0.94105,0.0,0.033
1351046,0.15368,-0.18774,0.93908,0.0,0.0967
1351062,0.15364,-0.18787,0.94106,0.0765,0.3263
1351078,0.15356,-0.18309,0.94015,0.4069,0.4085
1351095,0.15097,-0.18192,0.94412,0.3682,0.2377
1351111,0.14985,-0.18299,0.94403,0.0,0.0346
1351126,0.15007,-0.18709,0.9431,0.0,0.0967
1351142,0.14977,-0.18554,0.94331,0.0918,0.3223
1351158,0.14716,-0.18134,0.94527,0.4021,0.3892
1351175,0.14791,-0.17906,0.94544,0.3844,0.249
1351191,0.14727,-0.1848,0.94425,0.0,0.0338
1351207,0.1502,-0.1832,0.94353,0.0,0.0459
1351223,0.14928,-0.18605,0.94203,0.0145,0.2812
1351239,0.1475,-0.18352,0.94534,0.3666,0.4215
1351255,0.15137,-0.18608,0.94494,0.3956,0.2635
1351271,0.14978,-0.18473,0.94308,0.0,0.0588
1351287,0.14911,-0.18822,0.94488,0.0,0.0
1351304,0.14761,-0.19219,0.94178,0.0,0.2506
1351320,0.15274,-0.18903,0.94223,0.3247,0.4053
1351336,0.14767,-0.18379,0.94655,0.3956,0.2877
1351351,0.14519,-0.18758,0.94368,0.0,0.0508
1351367,0.14108,-0.18668,0.94783,0.0,0.0
1351384,0.14652,-0.18609,0.94488,0.0,0.2474
1351400,0.14621,-0.18284,0.9463,0.3175,0.4199
1351416,0.14747,-0.18364,0.94469,0.394,0.2941
1351431,0.14883,-0.18921,0.94281,0.0,0.054
1351447,0.14692,-0.186,0.94543,0.0,0.0
1351463,0.14389,-0.18755,0.94527,0.0,0.2514
1351480,0.14439,-0.18721,0.94612,0.3272,0.4174
1351496,0.14414,-0.1893,0.94519,0.394,0.2877
1351512,0.1454,-0.19239,0.94351,0.0363,0.083
1351528,0.14829,-0.19328,0.94204,0.0,0.0
1351544,0.15207,-0.19517,0.93909,0.0,0.1482
1351561,0.15004,-0.19813,0.94016,0.1926,0.3699
1351577,0.14782,-0.19016,0.94458,0.4295,0.3666
1351594,0.14117,-0.18052,0.94897,0.3272,0.1934
1351610,0.14526,-0.18805,0.94479,0.0,0.0024
1351625,0.15284,-0.19932,0.93824,0.0,0.1354
1351641,0.15198,-0.19482,0.93708,0.1909,0.3602
1351658,0.14766,-0.18816,0.94334,0.4231,0.3602
1351674,0.14304,-0.1848,0.94852,0.3409,0.1974
1351690,0.14459,-0.15759,0.93238,0.0,0.0081
1351706,0.14705,-0.19625,0.93475,0.0,0.1007
1351722,0.152,-0.19433,0.93388,0.083,0.3247
1351738,0.1591,-0.19412,0.93106,0.4053,0.4182
1351754,0.15224,-0.18789,0.94107,0.386,0.2442
1351770,0.14398,-0.18002,0.9453,0.0,0.0346
1351787,0.12626,-0.18272,0.95184,0.0,0.0451
1351803,0.13902,-0.179,0.94815,0.0073,0.2853
1351819,0.14679,-0.19143,0.94044,0.3578,0.4191
1351835,0.14951,-0.1948,0.93911,0.3956,0.2691
