t_ms,ax,ay,az,L_env,L_raw,R_env,R_raw
1030583,0.1042,0.01,0.9774,0.0,0.5472,0.0,0.17
1030599,0.1027,0.0104,0.9707,0.0,0.5488,0.0,0.1764
1030616,0.1044,0.0128,0.9636,0.0,0.5528,0.0,0.1764
1030632,0.1046,0.0106,0.9579,0.0,0.5504,0.0,0.1732
1030648,0.1023,0.007,0.9604,0.0,0.548,0.0,0.1732
1030664,0.1017,0.0053,0.9759,0.0,0.5472,0.0,0.1724
1030681,0.1011,0.0023,0.9742,0.0,0.5463,0.0,0.17
1030697,0.1032,0.0095,0.9669,0.0,0.5528,0.0,0.1756
1030714,0.103,0.0111,0.9648,0.0,0.5504,0.0,0.1764
1030730,0.1037,0.0055,0.9732,0.0,0.5447,0.0,0.1716
1030747,0.1034,0.0088,0.9713,0.0,0.5415,0.0,0.1692
1030763,0.1006,0.0085,0.9606,0.0,0.5447,0.0,0.1716
1030779,0.1011,0.0045,0.969,0.0,0.5455,0.0,0.1732
1030795,0.1031,0.0077,0.9725,0.0,0.5472,0.0,0.1756
1030812,0.1045,0.0085,0.9626,0.0,0.5439,0.0,0.174
1030828,0.1033,0.0091,0.9606,0.0,0.5391,0.0,0.166
1030845,0.1016,0.008,0.9573,0.0,0.5367,0.0,0.1724
1030861,0.1011,0.0078,0.9694,0.0,0.5375,0.0,0.1748
1030878,0.1009,0.0064,0.971,0.0,0.5343,0.0,0.1732
1030894,0.1044,0.0075,0.9709,0.0,0.5383,0.0,0.1821
1030910,0.1061,0.0111,0.9786,0.0,0.531,0.0,0.1724
1030927,0.1012,0.0007,0.9666,0.0,0.5359,0.0,0.1708
1030943,0.1029,0.0076,0.9713,0.0,0.5327,0.0,0.1708
1030960,0.1032,0.0055,0.9886,0.0,0.5351,0.0,0.174
1030976,0.1033,0.0079,0.9571,0.0,0.5375,0.0,0.174
1030993,0.1034,0.0096,0.9619,0.0,0.5327,0.0,0.1781
1031009,0.1026,0.0074,0.9571,0.0,0.5302,0.0,0.1716
1031026,0.1032,0.0112,0.9684,0.0,0.5262,0.0,0.1684
1031042,0.1017,0.009,0.9672,0.0,0.5262,0.0,0.1644
1031059,0.1028,0.0063,0.9658,0.0,0.5278,0.0,0.1724
1031075,0.1009,0.0038,0.959,0.0,0.5238,0.0,0.174
1031091,0.1018,0.0074,0.9664,0.0,0.5141,0.0,0.1692
1031108,0.104,0.0118,0.9725,0.0,0.5133,0.0,0.166
1031124,0.0999,0.004,0.9679,0.0,0.519,0.0,0.1708
1031141,0.1027,0.0079,0.9753,0.0,0.5198,0.0,0.17
1031157,0.1034,0.0085,0.9644,0.0,0.5214,0.0,0.1764
1031174,0.1047,0.0106,0.9758,0.0,0.5133,0.0,0.17
1031190,0.1007,0.0046,0.9597,0.0,0.5117,0.0,0.1668
1031207,0.1028,0.0083,0.9713,0.0,0.5069,0.0,0.1684
1031224,0.1006,0.01,0.9719,0.0,0.5198,0.0,0.17
1031241,0.0947,0.0007,0.9592,0.0,0.523,0.0,0.1708
1031257,0.1021,-0.0009,0.9736,0.0,0.5238,0.0,0.1716
1031274,0.1026,0.0012,0.9733,0.0,0.5214,0.0,0.1732
1031290,0.1032,0.0123,0.9702,0.0,0.5206,0.0,0.1708
1031306,0.1059,0.001,0.9793,0.0,0.523,0.0,0.1716
1031323,0.1003,0.0048,0.9813,0.0,0.5198,0.0,0.1692
1031339,0.0966,0.0063,0.9883,0.0,0.5262,0.0,0.1724
1031356,0.0991,0.0015,0.9491,0.0,0.5318,0.0,0.1732
1031372,0.0979,0.0116,0.9763,0.0,0.5238,0.0,0.1772
1031389,0.1068,0.0122,0.9655,0.0,0.5238,0.0,0.1692
1031405,0.1028,0.0104,0.9683,0.0,0.5278,0.0,0.17
1031422,0.0993,0.0064,0.959,0.0,0.531,0.0,0.1724
1031438,0.1014,0.0049,0.9566,0.0,0.531,0.0,0.1724
1031454,0.103,0.0107,0.9758,0.0,0.5327,0.0,0.1756
1031471,0.1032,0.0043,0.9677,0.0,0.527,0.0,0.1724
1031487,0.1031,0.0101,0.985,0.0,0.5246,0.0,0.1732
1031504,0.1037,0.009,0.9723,0.0,0.523,0.0,0.1676
1031520,0.1009,0.0052,0.9687,0.0,0.5286,0.0,0.1716
1031537,0.1029,0.0107,0.9869,0.0,0.5351,0.0,0.1781
1031553,0.0975,0.001,0.9668,0.0,0.5343,0.0,0.1772
1031570,0.1008,0.0081,0.988,0.0,0.5327,0.0,0.17
1031586,0.099,0.0037,0.9428,0.0,0.5327,0.0,0.1716
1031602,0.1025,0.0133,0.9807,0.0,0.527,0.0,0.1724
1031619,0.1026,0.0078,0.9592,0.0,0.531,0.0,0.1781
1031635,0.1034,0.0086,0.9677,0.0,0.5359,0.0,0.1748
1031652,0.1044,0.0085,0.9588,0.0,0.531,0.0,0.1764
1031668,0.1003,0.0082,0.9722,0.0,0.5254,0.0,0.1716
1031685,0.1005,0.0053,0.9578,0.0,0.5246,0.0,0.1748
1031701,0.1006,0.0079,0.9756,0.0,0.5246,0.0,0.1748
1031717,0.1043,0.0053,0.9644,0.0,0.5262,0.0,0.1748
1031733,0.1044,0.0107,0.9829,0.0,0.523,0.0,0.1724
1031750,0.1039,0.0074,0.9633,0.0,0.5198,0.0,0.1539
1031766,0.1001,0.0065,0.969,0.0,0.5214,0.0,0.1692
1031783,0.1028,0.007,0.9703,0.0,0.5198,0.0,0.1668
1031799,0.1025,0.0097,0.9676,0.0,0.5222,0.0,0.1756
1031816,0.1061,0.0064,0.9736,0.0,0.5206,0.0,0.1724
1031832,0.102,0.0084,0.9671,0.0,0.5214,0.0,0.1716
1031848,0.102,0.0061,0.9669,0.0,0.5149,0.0,0.1652
1031865,0.1045,0.0088,0.9769,0.0,0.5222,0.0,0.17
1031881,0.1015,0.0076,0.9753,0.0,0.5254,0.0,0.1692
1031898,0.1042,0.0137,0.9721,0.0,0.5262,0.0,0.1716
1031914,0.1066,0.01,0.9795,0.0,0.5254,0.0,0.174
1031931,0.1042,0.014,0.975,0.0,0.5238,0.0,0.1716
1031947,0.1016,0.0044,0.9643,0.0,0.5262,0.0,0.1716
1031964,0.111,0.0137,0.9733,0.0,0.531,0.0,0.1708
1031980,0.1033,0.0069,0.9847,0.0,0.531,0.0,0.1724
1031996,0.1011,0.0099,0.961,0.0,0.5335,0.0,0.1764
1032012,0.1042,0.0067,0.9767,0.0,0.5343,0.0,0.174
1032029,0.1029,0.0044,0.9655,0.0,0.5318,0.0,0.17
1032045,0.1043,0.0085,0.9763,0.0,0.5327,0.0,0.1732
1032062,0.1033,0.0081,0.9712,0.0,0.5327,0.0,0.1708
1032078,0.1012,0.0059,0.9552,0.0,0.5343,0.0,0.1732
1032095,0.1061,0.0085,0.9749,0.0,0.5327,0.0,0.1732
1032111,0.1038,0.0109,0.9826,0.0,0.5327,0.0,0.1716
1032127,0.1015,0.0018,0.9603,0.0,0.531,0.0,0.17
1032144,0.1018,0.0098,0.9695,0.0,0.5335,0.0,0.1692
1032160,0.1016,0.0109,0.9726,0.0,0.5391,0.0,0.1764
1032177,0.1004,0.0079,0.9613,0.0,0.5327,0.0,0.1732
1032193,0.1024,0.0049,0.9623,0.0,0.5198,0.0,0.1644
1032210,0.1049,0.0086,0.9838,0.0,0.502,0.0,0.1603
1032226,0.1008,0.0125,0.961,0.0,0.4988,0.0,0.1708
1032243,0.1019,0.0056,0.9629,0.0,0.5004,0.0,0.174
1032259,0.101,0.0079,0.9703,0.0,0.5101,0.0,0.1748
1032275,0.1073,0.0144,0.9696,0.0,0.5182,0.0,0.1789
1032292,0.1057,0.0101,0.9726,0.0,0.523,0.0,0.17
1032308,0.1015,-0.008,0.9579,0.0,0.5222,0.0,0.1724
1032326,0.1099,0.0,0.9663,0.0,0.5302,0.0,0.1724
1032342,0.1016,0.0031,0.9653,0.0,0.531,0.0,0.1692
1032359,0.1047,0.0101,0.9716,0.0,0.5335,0.0,0.1708
1032375,0.1055,0.0115,0.9756,0.0,0.5351,0.0,0.1748
1032392,0.1011,0.0091,0.9472,0.0,0.5391,0.0,0.1732
1032408,0.0965,0.0031,0.9739,0.0,0.5327,0.0,0.1724
