t_ms,ax,ay,az,emg_env,emg_raw
113791,0.2313,0.46352,0.82534,0.1829,0.9735
113807,0.23207,0.46399,0.82565,0.2748,0.4859
113823,0.23133,0.46439,0.82621,0.1394,0.0387
113839,0.23053,0.46359,0.82537,0.0,0.0371
113855,0.23043,0.46406,0.82489,0.0,0.7663
113871,0.23041,0.46375,0.82579,0.1386,0.9855
113888,0.2308,0.46466,0.8246,0.2941,0.5963
113904,0.23107,0.46423,0.82704,0.1909,0.1104
113920,0.23077,0.46415,0.82534,0.0,0.0
113936,0.23095,0.46409,0.82509,0.0,0.6874
113952,0.23173,0.46418,0.82617,0.1273,1.0033
113967,0.23076,0.46425,0.8266,0.3054,0.6181
113984,0.23146,0.46341,0.82554,0.1764,0.1088
114000,0.23099,0.46423,0.8259,0.0,0.0
114016,0.23069,0.46423,0.82546,0.0,0.6858
114032,0.23087,0.46421,0.82632,0.1249,0.9904
114047,0.23156,0.46317,0.82513,0.3086,0.5899
114064,0.23154,0.46364,0.82546,0.2667,0.2176
114081,0.23125,0.46396,0.82626,0.0073,0.0
114097,0.23006,0.46383,0.82439,0.0,0.498
114112,0.23163,0.46439,0.82509,0.0798,0.9855
114129,0.23112,0.46385,0.82527,0.3328,0.8227
114145,0.23068,0.46281,0.82542,0.2683,0.2152
114161,0.23143,0.46429,0.82699,0.0064,0.0
114177,0.23126,0.46369,0.82622,0.0,0.4859
114193,0.23179,0.46407,0.82561,0.0201,0.9485
114209,0.23042,0.46365,0.82584,0.3022,0.8905
114225,0.23073,0.46452,0.82634,0.2796,0.2724
114241,0.23093,0.46375,0.82506,0.0282,0.0
114257,0.23093,0.46395,0.82571,0.0,0.3666
114274,0.2312,0.46333,0.82646,0.0,0.9114
114290,0.23149,0.46273,0.82489,0.2474,0.9324
114306,0.2314,0.46447,0.82638,0.3159,0.3441
114322,0.23152,0.46295,0.8261,0.0564,0.0
114338,0.23154,0.46472,0.82511,0.0,0.2232
114353,0.23161,0.46376,0.82663,0.0,0.909
114370,0.23212,0.46173,0.82656,0.2514,0.934
114386,0.23088,0.46395,0.82551,0.2909,0.3417
114402,0.23123,0.46353,0.82599,0.0483,0.0
114418,0.23211,0.46265,0.82579,0.0,0.216
114434,0.23115,0.46294,0.82549,0.0,0.855
114450,0.23042,0.46645,0.82529,0.1474,0.9654
114466,0.23043,0.46477,0.82569,0.3086,0.4609
114482,0.23125,0.46386,0.82557,0.1233,0.0234
114498,0.23103,0.46454,0.82575,0.0,0.0814
114515,0.23127,0.46345,0.8257,0.0,0.7889
114531,0.23067,0.46241,0.82582,0.145,0.9735
114547,0.23191,0.4623,0.82412,0.2998,0.5842
114563,0.23198,0.46278,0.82548,0.1958,0.0854
114579,0.23139,0.46304,0.82478,0.0,0.0
114594,0.23122,0.4629,0.8247,0.0,0.7889
114611,0.23043,0.46333,0.82471,0.141,0.9775
114627,0.2316,0.46318,0.82653,0.3022,0.5141
114643,0.23169,0.46322,0.82568,0.1845,0.0741
114659,0.23082,0.46251,0.82486,0.0,0.0
114675,0.23154,0.4633,0.82641,0.0,0.7277
114691,0.23071,0.4637,0.82497,0.141,0.9855
114707,0.23117,0.46347,0.82529,0.3207,0.6471
114723,0.23056,0.46363,0.82619,0.1926,0.1321
114739,0.2313,0.46403,0.82697,0.0,0.0
114756,0.23051,0.46483,0.82518,0.0,0.6519
114772,0.23165,0.46352,0.82486,0.1184,0.9904
114788,0.23133,0.46535,0.82656,0.3441,0.768
114804,0.23059,0.46153,0.82497,0.2635,0.1756
114820,0.23063,0.46224,0.82512,0.0,0.0
114836,0.23216,0.46728,0.82808,0.0,0.5576
114852,0.23026,0.45915,0.82297,0.054,0.9614
114868,0.23093,0.45847,0.8224,0.3263,0.8486
114884,0.23026,0.46481,0.8251,0.2764,0.2385
114901,0.23049,0.46639,0.82737,0.0298,0.0
114917,0.23118,0.46282,0.82539,0.0,0.4215
114933,0.23098,0.46213,0.82568,0.004,0.9227
114949,0.23176,0.46406,0.82671,0.2764,0.8993
114965,0.23135,0.4644,0.827,0.299,0.3054
114980,0.23155,0.46217,0.82648,0.0145,0.0
114997,0.23215,0.46345,0.82472,0.0,0.4174
115013,0.23108,0.46317,0.82656,0.0,0.9074
115029,0.23064,0.46423,0.82621,0.2748,0.8873
115045,0.23111,0.46377,0.82471,0.2917,0.2893
115061,0.23112,0.46345,0.82564,0.0459,0.0
115076,0.23072,0.46315,0.8261,0.0,0.4199
115093,0.23069,0.46321,0.82565,0.0073,0.9082
115109,0.23098,0.46337,0.82491,0.278,0.9018
115125,0.23119,0.46482,0.8258,0.2941,0.2901
115141,0.23059,0.46399,0.82453,0.0314,0.0
115157,0.2312,0.46116,0.82534,0.0,0.3006
115173,0.23206,0.46513,0.8263,0.0,0.8663
115189,0.23141,0.46388,0.82546,0.2248,0.9146
115205,0.23174,0.46459,0.82484,0.3094,0.3521
115222,0.23108,0.46406,0.8263,0.0757,0.0
115238,0.23061,0.46426,0.82477,0.0,0.1458
115254,0.2309,0.46286,0.82595,0.0,0.805
115270,0.2306,0.46235,0.82668,0.1652,0.9501
115286,0.23212,0.46447,0.82456,0.2909,0.4279
115301,0.23141,0.46571,0.82493,0.0798,0.0
115318,0.23138,0.46366,0.82534,0.0,0.1386
115334,0.23098,0.46408,0.82544,0.0,0.8139
115350,0.23043,0.46412,0.8257,0.1595,0.9646
115366,0.2319,0.46521,0.82545,0.2941,0.4601
115382,0.23187,0.46473,0.8255,0.1716,0.0596
115398,0.23089,0.4632,0.82444,0.0,0.025
115414,0.23192,0.46399,0.82695,0.0,0.7655
115432,0.23136,0.46289,0.82521,0.0806,0.9952
115448,0.23217,0.46239,0.82714,0.3328,0.8502
115464,0.2312,0.46369,0.8257,0.2812,0.2248
115480,0.23104,0.46374,0.82442,0.0338,0.0
