t_ms,ax,ay,az,L_env,L_raw,R_env,R_raw
15801,0.1569,-0.0096,0.9591,0.0,0.5061,0.0,0.1362
15818,0.151,-0.0066,0.9634,0.0,0.4956,0.0,0.1007
15834,0.1512,-0.0122,0.9644,0.0,0.5729,0.0,0.1491
15851,0.1559,-0.0137,0.961,0.0,0.6358,0.0,0.2144
15867,0.156,-0.0042,0.9576,0.0,0.6407,0.0,0.2361
15883,0.1489,-0.0028,0.9658,0.0,0.5649,0.0,0.1877
15900,0.1441,-0.0,0.9652,0.0,0.4988,0.0,0.1152
15916,0.1363,-0.0057,0.9722,0.0,0.5214,0.0,0.1184
15933,0.1386,-0.0049,0.9726,0.0,0.5987,0.0,0.1716
15949,0.1604,-0.0131,0.9563,0.0,0.6511,0.0,0.2345
15965,0.1586,-0.0141,0.9626,0.0,0.6044,0.0,0.2111
15982,0.1542,-0.0159,0.969,0.0,0.5214,0.0,0.1458
15998,0.1619,-0.0227,0.9597,0.0,0.494,0.0,0.1088
16014,0.1559,-0.0172,0.962,0.0,0.5617,0.0,0.1458
16031,0.1589,-0.0103,0.962,0.0,0.6391,0.0,0.2119
16047,0.1628,-0.0164,0.9624,0.0,0.6479,0.0,0.2369
16064,0.1619,-0.0151,0.9493,0.0,0.5762,0.0,0.1926
16080,0.163,-0.0108,0.9598,0.0,0.498,0.0,0.1152
16096,0.1627,-0.0068,0.9597,0.0,0.5262,0.0,0.1192
16113,0.16,-0.0096,0.9571,0.0,0.6036,0.0,0.174
16129,0.1578,-0.011,0.9616,0.0,0.6503,0.0,0.2353
16145,0.1577,-0.0131,0.9662,0.0,0.6132,0.0,0.216
16162,0.1552,-0.0203,0.9696,0.0,0.523,0.0,0.1482
16178,0.1632,-0.0059,0.9593,0.0,0.4924,0.0,0.1096
16195,0.1619,-0.0028,0.9546,0.0,0.5552,0.0,0.1402
16211,0.1533,0.0022,0.9637,0.0,0.631,0.0,0.2006
16228,0.1531,0.0024,0.9664,0.0,0.6479,0.0,0.2377
16244,0.1491,0.0038,0.9655,0.0,0.5794,0.0,0.1966
16261,0.1562,-0.0068,0.9617,0.0,0.4988,0.0,0.1241
16277,0.1609,-0.0068,0.9604,0.0,0.502,0.0,0.1072
16294,0.1679,-0.016,0.9533,0.0,0.5826,0.0,0.1611
16310,0.1703,-0.0082,0.9541,0.0,0.6407,0.0,0.2184
16328,0.1625,-0.0013,0.9477,0.0,0.6503,0.0,0.2385
16344,0.1669,-0.0108,0.9684,0.0,0.5754,0.0,0.199
16361,0.1627,-0.0142,0.9644,0.0,0.4948,0.0,0.1217
16377,0.1518,-0.0011,0.9477,0.0,0.5012,0.0,0.1096
16394,0.1496,-0.0031,0.9587,0.0,0.5778,0.0,0.1531
16410,0.1557,-0.004,0.9716,0.0,0.6391,0.0,0.216
16426,0.1576,-0.0041,0.9607,0.0,0.6294,0.0,0.2297
16443,0.1548,-0.0051,0.9651,0.0,0.5463,0.0,0.1732
16459,0.1605,-0.0093,0.9678,0.0,0.4916,0.0,0.1112
16476,0.1594,-0.0093,0.9665,0.0,0.527,0.0,0.1249
16492,0.1606,-0.009,0.9553,0.0,0.6044,0.0,0.1781
16509,0.1597,-0.003,0.9541,0.0,0.6447,0.0,0.2321
16525,0.1478,0.0033,0.9608,0.0,0.5891,0.0,0.2111
16541,0.152,-0.0022,0.965,0.0,0.5012,0.0,0.1305
16558,0.1485,-0.0094,0.9748,0.0,0.494,0.0,0.1072
16574,0.1538,-0.0131,0.9556,0.0,0.5729,0.0,0.1474
16591,0.149,-0.0025,0.9528,0.0,0.6374,0.0,0.2152
16607,0.1591,0.0054,0.9603,0.0,0.6358,0.0,0.2361
16623,0.1493,0.0006,0.9543,0.0,0.5617,0.0,0.1829
16640,0.1646,-0.0158,0.9559,0.0,0.4956,0.0,0.1209
16656,0.1604,0.0016,0.9632,0.0,0.5222,0.0,0.1144
16673,0.1609,-0.0108,0.9617,0.0,0.5987,0.0,0.1716
16689,0.1633,-0.0051,0.9562,0.0,0.6503,0.0,0.2273
16706,0.1628,-0.0105,0.9539,0.0,0.6148,0.0,0.224
16722,0.1688,-0.0097,0.9616,0.0,0.5343,0.0,0.1539
16739,0.1664,-0.0097,0.9505,0.0,0.4932,0.0,0.1104
16755,0.1608,-0.0062,0.9602,0.0,0.552,0.0,0.1329
16772,0.1527,-0.0063,0.9637,0.0,0.627,0.0,0.1934
16788,0.1539,-0.0009,0.9648,0.0,0.6536,0.0,0.2345
16804,0.1443,-0.0072,0.9644,0.0,0.5874,0.0,0.2022
16821,0.1523,-0.0021,0.9715,0.0,0.5012,0.0,0.1265
16837,0.1496,0.0063,0.9617,0.0,0.5004,0.0,0.1007
16854,0.1599,-0.0073,0.9573,0.0,0.5762,0.0,0.1523
16870,0.1547,-0.0131,0.9596,0.0,0.6407,0.0,0.2264
16886,0.1606,-0.0114,0.9627,0.0,0.6189,0.0,0.2281
16903,0.1557,-0.0126,0.9528,0.0,0.5383,0.0,0.166
16919,0.1516,-0.0119,0.9692,0.0,0.4932,0.0,0.112
16935,0.1578,-0.0158,0.9601,0.0,0.5447,0.0,0.1265
16952,0.1697,0.0,0.9505,0.0,0.6148,0.0,0.1861
16968,0.1561,-0.0015,0.9558,0.0,0.6519,0.0,0.2313
16985,0.1668,-0.001,0.9562,0.0,0.5947,0.0,0.2022
17001,0.168,-0.0131,0.9572,0.0,0.4988,0.0,0.1313
17017,0.1525,-0.0146,0.9713,0.0,0.5004,0.0,0.1088
17034,0.1534,-0.0116,0.9567,0.0,0.585,0.0,0.1611
17050,0.148,-0.0025,0.9639,0.0,0.6471,0.0,0.216
17066,0.1539,-0.012,0.9714,0.0,0.6326,0.0,0.2297
17083,0.1465,-0.0148,0.9612,0.0,0.5512,0.0,0.1692
17099,0.1588,-0.0237,0.9595,0.0,0.498,0.0,0.1023
17116,0.1685,-0.0179,0.9596,0.0,0.5327,0.0,0.1225
17132,0.1724,-0.0147,0.9505,0.0,0.6116,0.0,0.1813
17149,0.1823,-0.026,0.9412,0.0,0.6568,0.0,0.2313
17165,0.1846,-0.0167,0.9499,0.0,0.6084,0.0,0.2152
17182,0.1969,-0.0295,0.943,0.0,0.523,0.0,0.1491
17198,0.1711,-0.0126,0.9504,0.0,0.4956,0.0,0.1015
17215,0.1541,-0.0024,0.9616,0.0,0.5641,0.0,0.1394
17231,0.1582,0.0037,0.9731,0.0,0.6374,0.0,0.2144
17247,0.1413,-0.0073,0.9603,0.0,0.6487,0.0,0.2353
17264,0.1497,-0.0111,0.9739,0.0,0.5762,0.0,0.1909
17280,0.1519,-0.006,0.9655,0.0,0.498,0.0,0.1225
17297,0.1598,-0.0082,0.9545,0.0,0.5125,0.0,0.112
17313,0.1603,-0.0064,0.9572,0.0,0.6019,0.0,0.1764
17329,0.154,-0.0055,0.9624,0.0,0.6447,0.0,0.2297
17346,0.1533,-0.0039,0.9626,0.0,0.6116,0.0,0.2184
17362,0.1368,0.0025,0.9648,0.0,0.5335,0.0,0.1531
17379,0.1427,-0.0027,0.9748,0.0,0.4875,0.0,0.1088
17395,0.1501,0.0025,0.9684,0.0,0.552,0.0,0.1362
17411,0.1493,-0.0027,0.9622,0.0,0.627,0.0,0.1966
17429,0.1527,-0.0111,0.9654,0.0,0.6519,0.0,0.2264
17445,0.1578,-0.0045,0.9598,0.0,0.61,0.0,0.2144
17462,0.1541,-0.0081,0.9598,0.0,0.531,0.0,0.1491
17478,0.1647,-0.0175,0.9545,0.0,0.494,0.0,0.0999
17495,0.1754,-0.0148,0.9552,0.0,0.5536,0.0,0.1354
17511,0.1716,-0.0075,0.9517,0.0,0.6302,0.0,0.1974
17528,0.1668,-0.01,0.9532,0.0,0.6503,0.0,0.2393
17544,0.1778,-0.0147,0.9545,0.0,0.5842,0.0,0.1998
17561,0.1691,-0.0042,0.95,0.0,0.5012,0.0,0.1273
17577,0.1571,-0.0057,0.9581,0.0,0.5028,0.0,0.1072
17594,0.1454,-0.0007,0.9729,0.0,0.5834,0.0,0.1539
17610,0.141,-0.0026,0.9711,0.0,0.6431,0.0,0.216
17627,0.1435,-0.0033,0.9674,0.0,0.6366,0.0,0.2289
17643,0.1567,-0.0059,0.9776,0.0,0.5528,0.0,0.1764
17659,0.161,-0.0097,0.9658,0.0,0.4956,0.0,0.1176
17676,0.1647,-0.0134,0.9535,0.0,0.5327,0.0,0.12
17692,0.1658,-0.011,0.9532,0.0,0.6036,0.0,0.1772
17709,0.159,-0.0127,0.9614,0.0,0.6495,0.0,0.224
17725,0.1463,-0.0017,0.963,0.0,0.5955,0.0,0.2095
17741,0.1521,-0.0097,0.9659,0.0,0.5053,0.0,0.1362
17758,0.1474,-0.0024,0.9631,0.0,0.494,0.0,0.1023
